birth_date,depth_chart_position,search_full_name,espn_id,active,swish_id,gsis_id,last_name,fantasy_data_id,years_exp,team,sportradar_id,injury_body_part,status,weight,yahoo_id,kalshi_id,college,oddsjam_id,number,stats_id,age,injury_status,rotowire_id,first_name,full_name,sleeper_id,rotoworld_id,nflstats_id,position,headshot_url,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr
1995-03-14,K,brandonaubrey,,True,1454349.0,,Aubrey,24902.0,2.0,DAL,110e6fe0-1c34-11ee-8294-af17faac15de,,Active,218,,8ab98460-cf9f-4895-a793-c2deda5b200b,Notre Dame,872D94B3727D,17.0,,30.0,,17649.0,Brandon,Brandon Aubrey,11533,,00-0037692,K,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ynyyootbeabm5sx4ejgt",2025,1,REG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,53.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,41;53,,,94,0,0,2,2,0,0,1.0,0,0,0,0,0,0.0,0.0
1995-03-14,K,brandonaubrey,,True,1454349.0,,Aubrey,24902.0,2.0,DAL,110e6fe0-1c34-11ee-8294-af17faac15de,,Active,218,,8ab98460-cf9f-4895-a793-c2deda5b200b,Notre Dame,872D94B3727D,17.0,,30.0,,17649.0,Brandon,Brandon Aubrey,11533,,00-0037692,K,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ynyyootbeabm5sx4ejgt",2025,2,REG,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,64.0,1.0,0,0,0,2,1,1,0,0,0,0,0,0,51;44;64;46,,,205,0,0,4,4,0,0,1.0,1,1,0,0,46,0.0,0.0
1995-03-14,K,brandonaubrey,,True,1454349.0,,Aubrey,24902.0,2.0,DAL,110e6fe0-1c34-11ee-8294-af17faac15de,,Active,218,,8ab98460-cf9f-4895-a793-c2deda5b200b,Notre Dame,872D94B3727D,17.0,,30.0,,17649.0,Brandon,Brandon Aubrey,11533,,00-0037692,K,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ynyyootbeabm5sx4ejgt",2025,3,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,53.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,53;33,,,86,0,0,0,0,0,0,,0,0,0,0,0,0.0,0.0
1995-03-14,K,brandonaubrey,,True,1454349.0,,Aubrey,24902.0,2.0,DAL,110e6fe0-1c34-11ee-8294-af17faac15de,,Active,218,,8ab98460-cf9f-4895-a793-c2deda5b200b,Notre Dame,872D94B3727D,17.0,,30.0,,17649.0,Brandon,Brandon Aubrey,11533,,00-0037692,K,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ynyyootbeabm5sx4ejgt",2025,4,REG,GB,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,5,5,0,0,1.0,0,0,0,0,0,0.0,0.0
1995-03-14,K,brandonaubrey,,True,1454349.0,,Aubrey,24902.0,2.0,DAL,110e6fe0-1c34-11ee-8294-af17faac15de,,Active,218,,8ab98460-cf9f-4895-a793-c2deda5b200b,Notre Dame,872D94B3727D,17.0,,30.0,,17649.0,Brandon,Brandon Aubrey,11533,,00-0037692,K,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ynyyootbeabm5sx4ejgt",2025,5,REG,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,35.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,4,5,1,0,0.8,0,0,0,0,0,0.0,0.0
1995-03-14,K,brandonaubrey,,True,1454349.0,,Aubrey,24902.0,2.0,DAL,110e6fe0-1c34-11ee-8294-af17faac15de,,Active,218,,8ab98460-cf9f-4895-a793-c2deda5b200b,Notre Dame,872D94B3727D,17.0,,30.0,,17649.0,Brandon,Brandon Aubrey,11533,,00-0037692,K,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ynyyootbeabm5sx4ejgt",2025,6,REG,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,28.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,23;28,,,51,0,0,3,3,0,0,1.0,0,0,0,0,0,0.0,0.0
1995-03-14,K,brandonaubrey,,True,1454349.0,,Aubrey,24902.0,2.0,DAL,110e6fe0-1c34-11ee-8294-af17faac15de,,Active,218,,8ab98460-cf9f-4895-a793-c2deda5b200b,Notre Dame,872D94B3727D,17.0,,30.0,,17649.0,Brandon,Brandon Aubrey,11533,,00-0037692,K,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ynyyootbeabm5sx4ejgt",2025,7,REG,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,61.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,47;61;29,,,137,0,0,5,5,0,0,1.0,0,0,0,0,0,0.0,0.0
2002-03-21,SWR,parkerwashington,,True,1229074.0,,Washington,24143.0,2.0,JAX,c05863ec-3414-4ae6-a8d2-830aed99b6d3,,Active,204,,6599a162-f520-46bf-8858-83777c92bd54,Penn State,6C394246A6D8,11.0,,23.0,,16690.0,Parker,Parker Washington,9487,,00-0038606,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqgxayp6nrrpvwonksdm",2025,1,REG,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0.0,0.0
2002-03-21,SWR,parkerwashington,,True,1229074.0,,Washington,24143.0,2.0,JAX,c05863ec-3414-4ae6-a8d2-830aed99b6d3,,Active,204,,6599a162-f520-46bf-8858-83777c92bd54,Penn State,6C394246A6D8,11.0,,23.0,,16690.0,Parker,Parker Washington,9487,,00-0038606,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqgxayp6nrrpvwonksdm",2025,2,REG,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,5,5,76,0,0,0,33,43,3,7.15622499526944,0,2.303030303030303,0.12195121951219512,0.10714285714285714,0.2579268292682927,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,3,75,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,7.6000000000000005,12.600000000000001
2002-03-21,SWR,parkerwashington,,True,1229074.0,,Washington,24143.0,2.0,JAX,c05863ec-3414-4ae6-a8d2-830aed99b6d3,,Active,204,,6599a162-f520-46bf-8858-83777c92bd54,Penn State,6C394246A6D8,11.0,,23.0,,16690.0,Parker,Parker Washington,9487,,00-0038606,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqgxayp6nrrpvwonksdm",2025,3,REG,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,4,11,34,0,0,0,137,12,2,-8.022860305849463,0,0.24817518248175183,0.2894736842105263,0.43492063492063493,0.7386549707602339,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,3.4000000000000004,7.4
2002-03-21,SWR,parkerwashington,,True,1229074.0,,Washington,24143.0,2.0,JAX,c05863ec-3414-4ae6-a8d2-830aed99b6d3,,Active,204,,6599a162-f520-46bf-8858-83777c92bd54,Penn State,6C394246A6D8,11.0,,23.0,,16690.0,Parker,Parker Washington,9487,,00-0038606,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqgxayp6nrrpvwonksdm",2025,4,REG,SF,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,-1,0,0,0,0,-0.9608456955756992,0,0,2,0,0,0,0,27,0,0,-3.1778663327712566,0,0.0,0.06666666666666667,0.1377551020408163,0.19642857142857142,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,5.9,5.9
